date ,Region,price
01/06/1989,Wales,0.8803
01/06/1989,West Midlands,0.8933
01/06/1989,Yorkshire & Humber,0.8907
01/07/1989,East Anglia,0.9752
01/07/1989,East Midlands,0.9396
01/07/1989,London,1.0992
01/07/1989,North,0.9144
01/07/1989,North West,0.8823
01/07/1989,Northern Ireland,1.0600
01/07/1989,Scotland,0.9775
01/07/1989,South East,1.0374
01/07/1989,South West,0.9920
01/07/1989,Wales,0.8803
01/07/1989,West Midlands,0.8983
01/07/1989,Yorkshire & Humber,0.9018
01/08/1989,East Anglia,0.9935
01/08/1989,East Midlands,0.9472
01/08/1989,London,1.1062
01/08/1989,North,0.9295
01/08/1989,North West,0.8909
01/08/1989,Northern Ireland,1.0622
01/08/1989,Scotland,0.9845
01/08/1989,South East,1.0581
01/08/1989,South West,1.0033
01/08/1989,Wales,0.8913
01/08/1989,West Midlands,0.8977
01/08/1989,Yorkshire & Humber,0.9294
01/09/1989,East Anglia,1.0033
01/09/1989,East Midlands,0.9667
01/09/1989,London,1.1119
01/09/1989,North,0.9324
01/09/1989,North West,0.8932
01/09/1989,Northern Ireland,1.0600
01/09/1989,Scotland,0.9902
01/09/1989,South East,1.0638
01/09/1989,South West,1.0243
01/09/1989,Wales,0.8979
01/09/1989,West Midlands,0.9072
01/09/1989,Yorkshire & Humber,0.9289
01/10/1989,East Anglia,1.0239
01/10/1989,East Midlands,0.9786
01/10/1989,London,1.1150
01/10/1989,North,0.9339
01/10/1989,North West,0.8973
01/10/1989,Northern Ireland,1.0943
01/10/1989,Scotland,0.9951
01/10/1989,South East,1.0806
01/10/1989,South West,1.0253
01/10/1989,Wales,0.9015
01/10/1989,West Midlands,0.9365
01/10/1989,Yorkshire & Humber,0.9314
01/11/1989,East Anglia,1.0265
01/11/1989,East Midlands,0.9700
01/11/1989,London,1.1206
01/11/1989,North,0.9405
01/11/1989,North West,0.8997
01/11/1989,Northern Ireland,1.0996
01/11/1989,Scotland,0.9974
01/11/1989,South East,1.0874
01/11/1989,South West,1.0367
01/11/1989,Wales,0.9024
01/11/1989,West Midlands,0.9280
01/11/1989,Yorkshire & Humber,0.9370
01/12/1989,East Anglia,1.0303
01/12/1989,East Midlands,0.9746
01/12/1989,London,1.1258
01/12/1989,North,0.9370
01/12/1989,North West,0.9032
01/12/1989,Northern Ireland,1.0954
01/12/1989,Scotland,0.9994
01/12/1989,South East,1.0920
01/12/1989,South West,1.0391
01/12/1989,Wales,0.8994
01/12/1989,West Midlands,0.9442
01/12/1989,Yorkshire & Humber,0.9431
01/01/1990,East Anglia,1.0306
01/01/1990,East Midlands,0.9598
01/01/1990,London,1.1397
01/01/1990,North,0.9478
01/01/1990,North West,0.9083
01/01/1990,Northern Ireland,1.1036
01/01/1990,Scotland,0.9996
