Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Saint Kitts and Nevis,KNA,2019,21073.54102
Saint Lucia,LCA,2019,14909.16895
Saint Pierre and Miquelon,SPM,2019,64130.15234
Saint Vincent and the Grenadines,VCT,2019,8153.638672
Samoa,WSM,2019,7959.014648
Sao Tome and Principe,STP,2019,3411.550781
Saudi Arabia,SAU,2019,87468.54688
Senegal,SEN,2019,2703.498535
Serbia,SRB,2019,22784.41602
Seychelles,SYC,2019,47767.85156
Sierra Leone,SLE,2019,528.336731
Singapore,SGP,2019,169094.9844
Slovakia,SVK,2019,33873.65234
Slovenia,SVN,2019,38530.51563
Solomon Islands,SLB,2019,2038.201538
Somalia,SOM,2019,235.5066681
South Africa,ZAF,2019,25440.29297
South America,,2019,16209.31348
South Korea,KOR,2019,67844.16406
South Sudan,SSD,2019,704.5518188
Spain,ESP,2019,34049.9375
Sri Lanka,LKA,2019,5072.591309
Sudan,SDN,2019,2359.674072
Suriname,SUR,2019,24136.25586
Sweden,SWE,2019,64719.82422
Switzerland,CHE,2019,39084.58594
Syria,SYR,2019,7324.689941
Taiwan,TWN,2019,56552.41016
Tajikistan,TJK,2019,8101.675781
Tanzania,TZA,2019,977.6470337
Thailand,THA,2019,21887.79492
Timor,TLS,2019,1682.186646
Togo,TGO,2019,1205.38501
Tonga,TON,2019,6694.15332
Trinidad and Tobago,TTO,2019,138404.7344
Tunisia,TUN,2019,10435.09375
Turkey,TUR,2019,21986.7793
Turkmenistan,TKM,2019,66438.78125
Turks and Caicos Islands,TCA,2019,25774.60742
Tuvalu,TUV,2019,0
Uganda,UGA,2019,862.4026489
Ukraine,UKR,2019,21768.2168
United Arab Emirates,ARE,2019,129299.2813
United Kingdom,GBR,2019,32361.2168
United States,USA,2019,80749
United States Virgin Islands,VIR,2019,95009.97656
Upper-middle-income countries,,2019,25579.2207
Uruguay,URY,2019,19607.18164
Uzbekistan,UZB,2019,16210.30371
Vanuatu,VUT,2019,3187.939697
Venezuela,VEN,2019,20353.38477
Vietnam,VNM,2019,12496.14648
Western Sahara,ESH,2019,1867.787476
World,OWID_WRL,2019,21154.44727
Yemen,YEM,2019,1598.113647
Zambia,ZMB,2019,3398.124268
Zimbabwe,ZWE,2019,3374.877197
