Region,Price
East,3.2650
East Midlands (England),3.0603
London,3.5144
North East (England),2.4606
North West (England),2.6827
Northern Ireland,3.5185
Scotland,2.9652
South East (England),3.4582
South West (England),3.4432
Wales,2.9325
West Midlands (England),2.7077
Yorkshire and The Humber,2.8391
