,Date,Year,Energy Source,Energy Consumption
156,1982,,Wind Consumption,0.0
157,1982,,Hydro Consumption,148.4593048
158,1982,,Nuclear Consumption,0.0
159,1982,,Gas Consumption,246.733551
160,1982,,Coal Consumption,701.1759033
161,1982,,Oil Consumption,925.2272339
162,1983,,Geo Biomass Other,0.230000004
163,1983,,Biofuels Consumption - TWh -,0.0
164,1983,,Solar Consumption,0.0
165,1983,,Wind Consumption,0.0
166,1983,,Hydro Consumption,133.7953644
167,1983,,Nuclear Consumption,0.0
168,1983,,Gas Consumption,271.2753296
169,1983,,Coal Consumption,713.2460327
170,1983,,Oil Consumption,964.5521851
171,1984,,Geo Biomass Other,0.233999997
172,1984,,Biofuels Consumption - TWh -,0.0
173,1984,,Solar Consumption,0.0
174,1984,,Wind Consumption,0.0
175,1984,,Hydro Consumption,131.556366
176,1984,,Nuclear Consumption,11.13724613
177,1984,,Gas Consumption,259.902771
178,1984,,Coal Consumption,762.8978271
179,1984,,Oil Consumption,981.7520752
180,1985,,Geo Biomass Other,0.268999994
181,1985,,Biofuels Consumption - TWh -,0.0
182,1985,,Solar Consumption,0.0
183,1985,,Wind Consumption,0.0
184,1985,,Hydro Consumption,146.2221832
185,1985,,Nuclear Consumption,15.08139229
186,1985,,Gas Consumption,278.8427429
187,1985,,Coal Consumption,787.1658936
188,1985,,Oil Consumption,1007.091858
189,1986,,Geo Biomass Other,0.658999979
190,1986,,Biofuels Consumption - TWh -,0.0
191,1986,,Solar Consumption,0.0
192,1986,,Wind Consumption,0.0
193,1986,,Hydro Consumption,151.2363129
194,1986,,Nuclear Consumption,24.97864342
195,1986,,Gas Consumption,313.2712097
196,1986,,Coal Consumption,805.3560791
197,1986,,Oil Consumption,988.5931396
198,1987,,Geo Biomass Other,0.657999992
199,1987,,Biofuels Consumption - TWh -,0.0
200,1987,,Solar Consumption,0.0
201,1987,,Wind Consumption,0.0
202,1987,,Hydro Consumption,145.0594177
203,1987,,Nuclear Consumption,17.49895477
204,1987,,Gas Consumption,323.3843689
205,1987,,Coal Consumption,828.3197021
206,1987,,Oil Consumption,1042.068604
207,1988,,Geo Biomass Other,0.625999987
208,1988,,Biofuels Consumption - TWh -,0.0
209,1988,,Solar Consumption,0.0
210,1988,,Wind Consumption,0.0
211,1988,,Hydro Consumption,158.4752808
212,1988,,Nuclear Consumption,29.77404404
213,1988,,Gas Consumption,358.4445496
214,1988,,Coal Consumption,890.1607666
215,1988,,Oil Consumption,1086.268188
216,1989,,Geo Biomass Other,0.616999984
217,1989,,Biofuels Consumption - TWh -,0.0
218,1989,,Solar Consumption,0.0
219,1989,,Wind Consumption,0.0
220,1989,,Hydro Consumption,166.4081573
221,1989,,Nuclear Consumption,31.49357796
222,1989,,Gas Consumption,371.4710388
223,1989,,Coal Consumption,835.6208496
224,1989,,Oil Consumption,1123.926514
225,1990,,Geo Biomass Other,0.796000004
226,1990,,Biofuels Consumption - TWh -,0.0
227,1990,,Solar Consumption,0.0
228,1990,,Wind Consumption,0.0
229,1990,,Hydro Consumption,169.3014069
230,1990,,Nuclear Consumption,23.97416306
231,1990,,Gas Consumption,398.6453857
232,1990,,Coal Consumption,877.6782837
233,1990,,Oil Consumption,1142.402832
234,1991,,Geo Biomass Other,0.811999977
235,1991,,Biofuels Consumption - TWh -,0.0
236,1991,,Solar Consumption,0.0
237,1991,,Wind Consumption,0.0
238,1991,,Hydro Consumption,179.3458099
239,1991,,Nuclear Consumption,25.94623756
240,1991,,Gas Consumption,401.6355896
241,1991,,Coal Consumption,853.762146
242,1991,,Oil Consumption,1148.7052
243,1992,,Geo Biomass Other,0.84224999
244,1992,,Biofuels Consumption - TWh -,0.0
245,1992,,Solar Consumption,0.0
246,1992,,Wind Consumption,0.0
247,1992,,Hydro Consumption,171.0922546
248,1992,,Nuclear Consumption,26.35483932
249,1992,,Gas Consumption,421.2702637
250,1992,,Coal Consumption,858.8311768
251,1992,,Oil Consumption,1170.524658
252,1993,,Geo Biomass Other,0.937699974
253,1993,,Biofuels Consumption - TWh -,0.0
254,1993,,Solar Consumption,0.0
255,1993,,Wind Consumption,0.005916667
256,1993,,Hydro Consumption,167.6095581
257,1993,,Nuclear Consumption,20.5861702
258,1993,,Gas Consumption,412.6439819
259,1993,,Coal Consumption,871.7139282
260,1993,,Oil Consumption,1180.07666
261,1994,,Geo Biomass Other,0.834999979
262,1994,,Biofuels Consumption - TWh -,0.0
263,1994,,Solar Consumption,0.0
264,1994,,Wind Consumption,0.015972223
265,1994,,Hydro Consumption,170.3108978
266,1994,,Nuclear Consumption,27.51538277
267,1994,,Gas Consumption,431.8279419
268,1994,,Coal Consumption,894.4478149
269,1994,,Oil Consumption,1221.884644
270,1995,,Geo Biomass Other,1.018700004
271,1995,,Biofuels Consumption - TWh -,0.0
