Date,Region,Price
199912,2,1.9633
200001,1,1.7518
200001,2,1.9481
200002,1,1.7556
200002,2,1.9272
200003,1,1.7641
200003,2,1.9382
200004,1,1.7781
200004,2,1.9394
200005,1,1.7877
200005,2,1.9539
200006,1,1.7901
200006,2,1.9717
200007,1,1.7929
200007,2,1.9561
200008,1,1.7975
200008,2,1.9609
200009,1,1.7936
200009,2,1.9809
200010,1,1.7923
200010,2,1.9687
200011,1,1.7970
200011,2,1.9699
200012,1,1.8014
200012,2,1.9817
200101,1,1.7999
200101,2,1.9625
200102,1,1.8042
200102,2,1.9913
200103,1,1.8130
200103,2,1.9949
200104,1,1.8302
200104,2,2.0004
200105,1,1.8378
200105,2,2.0126
200106,1,1.8448
200106,2,2.0164
200107,1,1.8406
200107,2,2.0181
200108,1,1.8437
200108,2,2.0052
200109,1,1.8451
200109,2,2.0088
200110,1,1.8520
200110,2,2.0339
200111,1,1.8563
200111,2,2.0423
200112,1,1.8604
200112,2,2.0449
200201,1,1.8613
200201,2,2.0477
200202,1,1.8471
200202,2,2.0346
200203,1,1.8612
200203,2,2.0549
200204,1,1.8752
200204,2,2.0525
200205,1,1.8743
200205,2,2.0681
200206,1,1.8826
200206,2,2.0581
200207,1,1.8823
200207,2,2.0669
200208,1,1.8882
200208,2,2.0793
200209,1,1.8907
200209,2,2.0720
200210,1,1.8946
200210,2,2.0784
200211,1,1.8997
200211,2,2.0641
200212,1,1.9059
200212,2,2.0619
200301,1,1.9086
200301,2,2.0512
200302,1,1.9206
200302,2,2.1549
200303,1,1.9396
200303,2,2.1580
200304,1,1.9494
200304,2,2.1811
200305,1,1.9550
200305,2,2.1857
200306,1,1.9628
200306,2,2.1819
200307,1,1.9529
200307,2,2.1866
200308,1,1.9591
200308,2,2.1769
200309,1,1.9604
200309,2,2.1812
200310,1,1.9655
200310,2,2.1763
200311,1,1.9694
200311,2,2.1775
200312,1,1.9721
200312,2,2.1927
200401,1,1.9733
200401,2,2.2017
200402,1,1.9802
200402,2,2.1982
200403,1,2.0015
200403,2,2.2129
200404,1,2.0148
200404,2,2.2369
200405,1,2.0232
200405,2,2.2119
200406,1,2.0293
200406,2,2.2133
200407,1,2.0271
200407,2,2.2146
200408,1,2.0303
200408,2,2.2044
200409,1,2.0319
200409,2,2.1963
200410,1,2.0309
200410,2,2.2125
200411,1,2.0347
200411,2,2.2215
200412,1,2.0326
200412,2,2.2222
200501,1,2.0375
200501,2,2.2267
200502,1,2.0509
200502,2,2.2131
200503,1,2.0645
200503,2,2.2391
200504,1,2.0910
200504,2,2.2558
200505,1,2.0673
200505,2,2.1875
200506,1,2.1088
200506,2,2.2561
200507,1,2.1079
200507,2,2.2661
200508,1,2.1100
200508,2,2.2494
200509,1,2.1117
200509,2,2.2557
200510,1,2.1143
200510,2,2.2726
200511,1,2.1126
200511,2,2.2830
200512,1,2.1178
200512,2,2.2841
200601,1,2.1150
200601,2,2.2948
200602,1,2.1370
200602,2,2.3303
200603,1,2.1494
200603,2,2.3317
200604,1,2.1567
200604,2,2.3665
200605,1,2.1798
200605,2,2.3638
200606,1,2.1859
200606,2,2.3684
200607,1,2.1879
200607,2,2.3881
200608,1,2.1883
200608,2,2.3608
200609,1,2.1879
200609,2,2.3685
200610,1,2.1936
200610,2,2.4124
200611,1,2.1986
200611,2,2.4152
200612,1,2.2044
200612,2,2.4259
200701,1,2.2003
200701,2,2.3747
200702,1,2.2071
200702,2,2.3801
200703,1,2.2313
200703,2,2.4130
200704,1,2.2519
200704,2,2.4165
200705,1,2.2524
200705,2,2.4285
200706,1,2.2631
200706,2,2.4278
200707,1,2.2810
200707,2,2.4348
200708,1,2.2753
200708,2,2.4439
