Region,Price
East,3.4256
East Midlands (England),3.1604
London,4.3497
North East (England),2.8067
North West (England),2.8376
Northern Ireland,4.4000
Scotland,2.9457
South East (England),3.5296
South West (England),3.4238
Wales,2.9236
West Midlands (England),3.0455
Yorkshire and The Humber,3.0266
