,Unnamed: 0,Country,"GDP per capita, PPP (constant 2017 international $)",Code,Primary energy consumption per capita (kWh/person),Region
88,145,Latvia,31012.1351,LVA,23499.80273,Europe & Central Asia
89,148,Morocco,7546.754883,MAR,7223.973145,Middle East & North Africa
90,150,Moldova,13026.51597,MDA,10373.6875,Europe & Central Asia
91,151,Madagascar,1618.532561,MDG,676.539917,Sub-Saharan Africa
92,152,Maldives,19510.49184,MDV,17493.39063,South Asia
93,154,Mexico,19675.44067,MEX,16507.16992,Latin America & Carribean
94,157,North Macedonia,16773.04057,MKD,14905.75977,Europe & Central Asia
95,158,Mali,2321.702199,MLI,1289.118286,Sub-Saharan Africa
96,159,Malta,45396.73229,MLT,91685.14844,Middle East & North Africa
97,162,Montenegro,21533.93209,MNE,22650.16797,Europe & Central Asia
98,163,Mongolia,12486.07746,MNG,24337.97266,East Asia & Pacific
99,165,Mozambique,1281.780014,MOZ,2377.498047,Sub-Saharan Africa
100,166,Mauritania,5343.997921,MRT,3976.341797,Sub-Saharan Africa
101,167,Mauritius,22869.75631,MUS,23277.91797,Sub-Saharan Africa
102,168,Malawi,1537.141177,MWI,530.1196899,Sub-Saharan Africa
103,169,Malaysia,28421.46248,MYS,38858.89063,East Asia & Pacific
104,171,Namibia,9809.218482,NAM,8737.738281,Sub-Saharan Africa
105,173,Niger,1224.375135,NER,451.224884,Sub-Saharan Africa
106,174,Nigeria,5135.499469,NGA,2481.222412,Sub-Saharan Africa
107,175,Nicaragua,5445.729533,NIC,4371.559082,Latin America & Carribean
108,176,Netherlands,56784.03725,NLD,57643.90625,Europe & Central Asia
109,177,Norway,64385.00599,NOR,95756.6875,Europe & Central Asia
110,178,Nepal,3952.760349,NPL,1529.663818,South Asia
111,179,Nauru,13525.77285,NRU,24818.05273,East Asia & Pacific
112,180,New Zealand,43110.37124,NZL,55161.75781,East Asia & Pacific
113,182,Oman,31284.01636,OMN,76099.51563,Middle East & North Africa
114,184,Pakistan,5317.774364,PAK,4541.509766,South Asia
115,185,Panama,31440.26353,PAN,28998.33789,Latin America & Carribean
116,186,Peru,12858.3263,PER,10507.8457,Latin America & Carribean
117,187,Philippines,8914.723798,PHL,5204.539063,East Asia & Pacific
118,189,Papua New Guinea,4292.609429,PNG,3316.351318,East Asia & Pacific
119,190,Poland,33185.15813,POL,31269.9375,Europe & Central Asia
120,192,Puerto Rico,34804.94346,PRI,27927.33789,Latin America & Carribean
121,194,Portugal,34945.66134,PRT,28655.55273,Europe & Central Asia
122,195,Paraguay,12615.52865,PRY,18397.52148,Latin America & Carribean
123,200,Qatar,90043.799,QAT,206620.5313,Middle East & North Africa
124,201,Romania,29875.06277,ROU,20002.61523,Europe & Central Asia
125,203,Rwanda,2227.515571,RWA,499.5462341,Sub-Saharan Africa
126,205,Saudi Arabia,46999.93814,SAU,87468.54688,Middle East & North Africa
127,206,Sudan,4173.566406,SDN,2359.674072,Sub-Saharan Africa
128,207,Senegal,3368.262274,SEN,2703.498535,Sub-Saharan Africa
129,208,Singapore,98283.30891,SGP,169094.9844,East Asia & Pacific
130,209,Solomon Islands,2660.514892,SLB,2038.201538,East Asia & Pacific
131,210,Sierra Leone,1705.191452,SLE,528.336731,Sub-Saharan Africa
132,211,El Salvador,8776.119516,SLV,7069.96582,Latin America & Carribean
133,213,Somalia,1186.450871,SOM,235.5066681,Sub-Saharan Africa
134,214,Serbia,18306.78524,SRB,22784.41602,Europe & Central Asia
135,219,Sao Tome and Principe,4005.341623,STP,3411.550781,Sub-Saharan Africa
136,220,Suriname,19036.74504,SUR,24136.25586,Latin America & Carribean
137,222,Slovenia,38946.68538,SVN,38530.51563,Europe & Central Asia
138,223,Sweden,52850.56918,SWE,64719.82422,Europe & Central Asia
139,224,Eswatini,8652.922717,SWZ,5678.396484,Sub-Saharan Africa
140,226,Seychelles,29365.99966,SYC,47767.85156,Sub-Saharan Africa
141,228,Turks and Caicos Islands,29251.07773,TCA,25774.60742,Latin America & Carribean
142,229,Chad,1579.626101,TCD,461.7154236,Sub-Saharan Africa
143,232,Togo,2121.899918,TGO,1205.38501,Sub-Saharan Africa
144,233,Thailand,18438.64738,THA,21887.79492,East Asia & Pacific
145,234,Tajikistan,3581.409187,TJK,8101.675781,Europe & Central Asia
146,235,Turkmenistan,15538.41997,TKM,66438.78125,Europe & Central Asia
147,239,Tonga,6377.35552,TON,6694.15332,East Asia & Pacific
148,242,Trinidad and Tobago,26827.29412,TTO,138404.7344,Latin America & Carribean
149,243,Tunisia,11420.84973,TUN,10435.09375,Middle East & North Africa
150,246,Tanzania,2660.637451,TZA,977.6470337,Sub-Saharan Africa
151,247,Uganda,2182.899761,UGA,862.4026489,Sub-Saharan Africa
152,248,Ukraine,12804.95508,UKR,21768.2168,Europe & Central Asia
153,250,Uruguay,23032.73404,URY,19607.18164,Latin America & Carribean
154,251,United States,62458.75335,USA,80749.0,North America
155,252,Uzbekistan,7348.146883,UZB,16210.30371,Europe & Central Asia
156,257,Vietnam,10134.25903,VNM,12496.14648,East Asia & Pacific
157,258,Vanuatu,3116.594618,VUT,3187.939697,East Asia & Pacific
158,260,Samoa,6627.838501,WSM,7959.014648,East Asia & Pacific
159,263,South Africa,13709.96637,ZAF,25440.29297,Sub-Saharan Africa
160,264,Zambia,3470.435511,ZMB,3398.124268,Sub-Saharan Africa
161,265,Zimbabwe,2310.634802,ZWE,3374.877197,Sub-Saharan Africa
