Date,Region,Price
01/04/2008,London,2.5710
01/04/2008,North,2.2314
01/04/2008,North West (England),2.0942
01/04/2008,Northern Ireland,2.4763
01/04/2008,Scotland,2.3542
01/04/2008,South East (England),2.5915
01/04/2008,South West (England),2.4760
01/04/2008,Wales,2.1614
01/04/2008,West Midlands (England),2.2971
01/04/2008,Yorkshire and The Humber,2.3079
01/05/2008,East,2.5033
01/05/2008,East Midlands (England),2.3370
01/05/2008,London,2.5856
01/05/2008,North,2.2518
01/05/2008,North West (England),2.0931
01/05/2008,Northern Ireland,2.4868
01/05/2008,Scotland,2.3635
01/05/2008,South East (England),2.5971
01/05/2008,South West (England),2.4835
01/05/2008,Wales,2.1432
01/05/2008,West Midlands (England),2.2917
01/05/2008,Yorkshire and The Humber,2.2903
01/06/2008,East,2.5078
01/06/2008,East Midlands (England),2.3263
01/06/2008,London,2.5849
01/06/2008,North,2.2632
01/06/2008,North West (England),2.1229
01/06/2008,Northern Ireland,2.4921
01/06/2008,Scotland,2.3767
01/06/2008,South East (England),2.6059
01/06/2008,South West (England),2.4702
01/06/2008,Wales,2.1667
01/06/2008,West Midlands (England),2.2923
01/06/2008,Yorkshire and The Humber,2.2826
01/07/2008,East,2.5085
01/07/2008,East Midlands (England),2.3297
01/07/2008,London,2.6029
01/07/2008,North,2.2371
01/07/2008,North West (England),2.1191
01/07/2008,Northern Ireland,2.4974
01/07/2008,Scotland,2.3754
01/07/2008,South East (England),2.6120
01/07/2008,South West (England),2.4802
01/07/2008,Wales,2.1727
01/07/2008,West Midlands (England),2.2915
01/07/2008,Yorkshire and The Humber,2.2784
01/08/2008,East,2.5129
01/08/2008,East Midlands (England),2.3321
01/08/2008,London,2.5930
01/08/2008,North,2.2371
01/08/2008,North West (England),2.1132
01/08/2008,Northern Ireland,2.4921
01/08/2008,Scotland,2.4011
01/08/2008,South East (England),2.5856
01/08/2008,South West (England),2.4842
01/08/2008,Wales,2.1792
01/08/2008,West Midlands (England),2.3072
01/08/2008,Yorkshire and The Humber,2.2784
01/09/2008,East,2.5283
01/09/2008,East Midlands (England),2.3197
01/09/2008,London,2.5731
01/09/2008,North,2.2246
01/09/2008,North West (England),2.0856
01/09/2008,Northern Ireland,2.5295
01/09/2008,Scotland,2.3959
01/09/2008,South East (England),2.5866
01/09/2008,South West (England),2.4954
01/09/2008,Wales,2.1925
01/09/2008,West Midlands (England),2.3059
01/09/2008,Yorkshire and The Humber,2.2759
01/10/2008,East,2.5236
01/10/2008,East Midlands (England),2.3184
01/10/2008,London,2.5771
01/10/2008,North,2.2287
01/10/2008,North West (England),2.0905
01/10/2008,Northern Ireland,2.5211
01/10/2008,Scotland,2.3817
01/10/2008,South East (England),2.5889
01/10/2008,South West (England),2.4991
01/10/2008,Wales,2.1862
01/10/2008,West Midlands (England),2.2921
01/10/2008,Yorkshire and The Humber,2.3037
01/11/2008,East,2.5036
01/11/2008,East Midlands (England),2.3361
01/11/2008,London,2.5897
01/11/2008,North,2.2278
01/11/2008,North West (England),2.1033
01/11/2008,Northern Ireland,2.5342
01/11/2008,Scotland,2.4051
01/11/2008,South East (England),2.6121
01/11/2008,South West (England),2.5013
01/11/2008,Wales,2.1865
01/11/2008,West Midlands (England),2.2782
01/11/2008,Yorkshire and The Humber,2.3170
01/12/2008,East,2.5004
01/12/2008,East Midlands (England),2.3453
01/12/2008,London,2.5910
01/12/2008,North,2.2154
01/12/2008,North West (England),2.1374
01/12/2008,Northern Ireland,2.4531
01/12/2008,Scotland,2.3905
01/12/2008,South East (England),2.6055
01/12/2008,South West (England),2.5154
01/12/2008,Wales,2.1852
01/12/2008,West Midlands (England),2.3124
01/12/2008,Yorkshire and The Humber,2.3305
01/01/2009,East,2.5074
01/01/2009,East Midlands (England),2.3172
01/01/2009,London,2.5878
01/01/2009,North,2.2379
01/01/2009,North West (England),2.0850
01/01/2009,Northern Ireland,2.5132
01/01/2009,Scotland,2.4081
01/01/2009,South East (England),2.6101
01/01/2009,South West (England),2.5184
01/01/2009,Wales,2.2039
01/01/2009,West Midlands (England),2.2770
01/01/2009,Yorkshire and The Humber,2.3233
01/02/2009,East,2.5594
01/02/2009,East Midlands (England),2.3424
01/02/2009,London,2.5812
01/02/2009,North,2.2592
01/02/2009,North West (England),2.1198
01/02/2009,Northern Ireland,2.6050
01/02/2009,Scotland,2.3867
01/02/2009,South East (England),2.6244
01/02/2009,South West (England),2.5366
