Date,Region,Mean
2017-07-01,Other,2.99711
2017-07-01,London & Northern Ireland,3.47065
2017-08-01,Other,3.00124
2017-08-01,London & Northern Ireland,3.4814
2017-09-01,Other,2.98081
2017-09-01,London & Northern Ireland,3.5186
2017-10-01,Other,2.98145
2017-10-01,London & Northern Ireland,3.51645
2017-11-01,Other,2.97784
2017-11-01,London & Northern Ireland,3.5257
2017-12-01,Other,2.97445
2017-12-01,London & Northern Ireland,3.5452
2018-01-01,Other,2.98276
2018-01-01,London & Northern Ireland,3.5396
2018-02-01,Other,2.97648
2018-02-01,London & Northern Ireland,3.53995
2018-03-01,Other,2.98074
2018-03-01,London & Northern Ireland,3.5417
2018-04-01,Other,3.01895
2018-04-01,London & Northern Ireland,3.56935
2018-05-01,Other,3.02005
2018-05-01,London & Northern Ireland,3.59085
2018-06-01,Other,3.01815
2018-06-01,London & Northern Ireland,3.5978
2018-07-01,Other,3.02939
2018-07-01,London & Northern Ireland,3.58515
2018-08-01,Other,3.01447
2018-08-01,London & Northern Ireland,3.5978
2018-09-01,Other,3.01317
2018-09-01,London & Northern Ireland,3.604
2018-10-01,Other,2.99565
2018-10-01,London & Northern Ireland,3.59335
2018-11-01,Other,3.02265
2018-11-01,London & Northern Ireland,3.5931
2018-12-01,Other,2.99834
2018-12-01,London & Northern Ireland,3.53485
2019-01-01,Other,2.997
2019-01-01,London & Northern Ireland,3.57425
2019-02-01,Other,3.01596
2019-02-01,London & Northern Ireland,3.63905
2019-03-01,Other,3.04299
2019-03-01,London & Northern Ireland,3.74035
2019-04-01,Other,3.04981
2019-04-01,London & Northern Ireland,3.77655
2019-05-01,Other,3.0383
2019-05-01,London & Northern Ireland,3.815
2019-06-01,Other,3.05063
2019-06-01,London & Northern Ireland,3.8386
2019-07-01,Other,3.06457
2019-07-01,London & Northern Ireland,3.83175
2019-08-01,Other,3.06705
2019-08-01,London & Northern Ireland,3.8537
2019-09-01,Other,3.07467
2019-09-01,London & Northern Ireland,3.84175
2019-10-01,Other,3.07058
2019-10-01,London & Northern Ireland,3.88485
2019-11-01,Other,3.07592
2019-11-01,London & Northern Ireland,3.8274
2019-12-01,Other,3.07853
2019-12-01,London & Northern Ireland,3.85675
2020-01-01,Other,3.09149
2020-01-01,London & Northern Ireland,3.88075
2020-02-01,Other,3.04857
2020-02-01,London & Northern Ireland,3.99615
2020-03-01,Other,3.02876
2020-03-01,London & Northern Ireland,4.03325
2020-07-01,Other,2.8152
2020-07-01,London & Northern Ireland,3.9752
2020-08-01,Other,2.97337
2020-08-01,London & Northern Ireland,4.13985
2020-09-01,Other,3.0344
2020-09-01,London & Northern Ireland,4.11745
2020-10-01,Other,2.97221
2020-10-01,London & Northern Ireland,4.1656
2020-12-01,Other,3.017175
2020-12-01,London & Northern Ireland,3.96475
2021-05-01,Other,2.8347375
2021-05-01,London & Northern Ireland,3.9686
2021-06-01,Other,2.90267
2021-06-01,London & Northern Ireland,4.292
2021-07-01,Other,3.00292
2021-07-01,London & Northern Ireland,4.35095
2021-08-01,Other,3.05432
2021-08-01,London & Northern Ireland,4.34145
2021-09-01,Other,3.0534
2021-09-01,London & Northern Ireland,4.37645
2021-10-01,Other,3.11251
2021-10-01,London & Northern Ireland,4.37485
2021-11-01,Other,3.11541
2021-11-01,London & Northern Ireland,4.2905
2021-12-01,Other,3.11202
2021-12-01,London & Northern Ireland,4.3186
2022-01-01,Other,3.21396
2022-01-01,London & Northern Ireland,4.2818
2022-02-01,Other,3.22035
2022-02-01,London & Northern Ireland,4.1897
2022-03-01,Other,3.24544
2022-03-01,London & Northern Ireland,4.2833
2022-04-01,Other,3.27822
2022-04-01,London & Northern Ireland,4.51705
2022-05-01,Other,3.28228
2022-05-01,London & Northern Ireland,4.47395
2022-06-01,Other,3.31575
2022-06-01,London & Northern Ireland,4.41355
2022-07-01,Other,3.28907
2022-07-01,London & Northern Ireland,4.50275
2022-08-01,Other,3.32243
2022-08-01,London & Northern Ireland,4.496
2022-09-01,Other,3.27783
2022-09-01,London & Northern Ireland,4.52935
2022-10-01,Other,3.31111
2022-10-01,London & Northern Ireland,4.61685
