,Unnamed: 0_x,Unnamed: 0.1_x,Country,"GDP per capita, PPP (constant 2017 international $)_x",Code_x,Primary energy consumption per capita (kWh/person)_x,Region_x,Unnamed: 0_y,Unnamed: 0.1_y,"GDP per capita, PPP (constant 2017 international $)_y",Code_y,Primary energy consumption per capita (kWh/person)_y,Region_y
20,20,28,Bolivia,8724.474187,BOL,7940.383301,Latin America & Carribean,15.0,28.0,8724.474187,BOL,7940.383301,Latin America & Carribean
21,21,29,Brazil,14736.15606,BRA,16525.10938,Latin America & Carribean,16.0,29.0,14736.15606,BRA,16525.10938,Latin America & Carribean
22,22,30,Barbados,15499.80821,BRB,24536.79297,Latin America & Carribean,17.0,30.0,15499.80821,BRB,24536.79297,Latin America & Carribean
23,23,32,Bhutan,11864.76625,BTN,29338.07617,South Asia,18.0,32.0,11864.76625,BTN,29338.07617,South Asia
24,24,33,Botswana,16404.44491,BWA,9992.323242,Sub-Saharan Africa,19.0,33.0,16404.44491,BWA,9992.323242,Sub-Saharan Africa
25,25,34,Central African Republic,946.0596566,CAF,328.4351196,Sub-Saharan Africa,20.0,34.0,946.0596566,CAF,328.4351196,Sub-Saharan Africa
26,26,35,Canada,49171.51109,CAN,108631.0625,North America,,,,,,
27,27,37,Switzerland,70944.35481,CHE,39084.58594,Europe & Central Asia,,,,,,
28,28,39,Chile,24931.12188,CHL,25430.22656,Latin America & Carribean,21.0,39.0,24931.12188,CHL,25430.22656,Latin America & Carribean
29,29,40,China,15977.76383,CHN,27883.20898,East Asia & Pacific,22.0,40.0,15977.76383,CHN,27883.20898,East Asia & Pacific
30,30,41,Cote d'Ivoire,5212.554021,CIV,2410.60791,Sub-Saharan Africa,23.0,41.0,5212.554021,CIV,2410.60791,Sub-Saharan Africa
31,31,42,Cameroon,3742.856779,CMR,1814.028931,Sub-Saharan Africa,24.0,42.0,3742.856779,CMR,1814.028931,Sub-Saharan Africa
32,32,45,Colombia,14571.99095,COL,10647.37402,Latin America & Carribean,25.0,45.0,14571.99095,COL,10647.37402,Latin America & Carribean
33,33,46,Comoros,3058.980105,COM,1567.063477,Sub-Saharan Africa,26.0,46.0,3058.980105,COM,1567.063477,Sub-Saharan Africa
34,34,48,Costa Rica,20970.54415,CRI,13158.58984,Latin America & Carribean,27.0,48.0,20970.54415,CRI,13158.58984,Latin America & Carribean
35,35,52,Cayman Islands,73724.96695,CYM,51434.83594,Latin America & Carribean,,,,,,
36,36,53,Cyprus,41521.92188,CYP,27110.13281,Europe & Central Asia,,,,,,
37,37,54,Czechia,40981.05651,CZE,44705.38672,Europe & Central Asia,,,,,,
38,38,55,Germany,53929.63929,DEU,44244.88281,Europe & Central Asia,,,,,,
39,39,56,Djibouti,5260.015344,DJI,2598.322998,Middle East & North Africa,28.0,56.0,5260.015344,DJI,2598.322998,Middle East & North Africa
40,40,57,Dominica,12329.82527,DMA,10994.0791,Latin America & Carribean,29.0,57.0,12329.82527,DMA,10994.0791,Latin America & Carribean
41,41,58,Denmark,57161.68639,DNK,33887.26563,Europe & Central Asia,,,,,,
42,42,59,Dominican Republic,18412.89999,DOM,11434.63477,Latin America & Carribean,30.0,59.0,18412.89999,DOM,11434.63477,Latin America & Carribean
43,43,60,Algeria,11521.98421,DZA,16140.19629,Middle East & North Africa,31.0,60.0,11521.98421,DZA,16140.19629,Middle East & North Africa
44,44,66,Ecuador,11370.6033,ECU,12162.4834,Latin America & Carribean,32.0,66.0,11370.6033,ECU,12162.4834,Latin America & Carribean
45,45,70,Spain,40802.48774,ESP,34049.9375,Europe & Central Asia,,,,,,
46,46,71,Estonia,36401.10885,EST,47190.81641,Europe & Central Asia,,,,,,
47,47,72,Ethiopia,2221.404665,ETH,943.6289673,Sub-Saharan Africa,33.0,72.0,2221.404665,ETH,943.6289673,Sub-Saharan Africa
48,48,75,Finland,48582.58759,FIN,59174.64844,Europe & Central Asia,,,,,,
49,49,76,Fiji,13684.29169,FJI,9642.426758,East Asia & Pacific,34.0,76.0,13684.29169,FJI,9642.426758,East Asia & Pacific
50,50,77,France,46017.76596,FRA,41949.10156,Europe & Central Asia,,,,,,
51,51,80,Gabon,14945.85929,GAB,7848.57666,Sub-Saharan Africa,35.0,80.0,14945.85929,GAB,7848.57666,Sub-Saharan Africa
52,52,81,United Kingdom,47368.58441,GBR,32361.2168,Europe & Central Asia,,,,,,
53,53,82,Georgia,14989.25816,GEO,18547.29688,Europe & Central Asia,36.0,82.0,14989.25816,GEO,18547.29688,Europe & Central Asia
54,54,83,Ghana,5540.045627,GHA,3294.342529,Sub-Saharan Africa,37.0,83.0,5540.045627,GHA,3294.342529,Sub-Saharan Africa
55,55,85,Guinea,2566.322989,GIN,1211.761719,Sub-Saharan Africa,38.0,85.0,2566.322989,GIN,1211.761719,Sub-Saharan Africa
56,56,87,Guinea-Bissau,1939.28951,GNB,721.2616577,Sub-Saharan Africa,39.0,87.0,1939.28951,GNB,721.2616577,Sub-Saharan Africa
57,57,88,Equatorial Guinea,18600.39178,GNQ,16879.89844,Sub-Saharan Africa,40.0,88.0,18600.39178,GNQ,16879.89844,Sub-Saharan Africa
58,58,89,Greece,29698.03048,GRC,29698.73828,Europe & Central Asia,41.0,89.0,29698.03048,GRC,29698.73828,Europe & Central Asia
59,59,90,Grenada,16867.57213,GRD,11660.63379,Latin America & Carribean,42.0,90.0,16867.57213,GRD,11660.63379,Latin America & Carribean
60,60,92,Guatemala,8653.308195,GTM,5688.776855,Latin America & Carribean,43.0,92.0,8653.308195,GTM,5688.776855,Latin America & Carribean
61,61,94,Guyana,13082.18148,GUY,14245.79785,Latin America & Carribean,44.0,94.0,13082.18148,GUY,14245.79785,Latin America & Carribean
62,62,97,Honduras,5736.181633,HND,5802.885254,Latin America & Carribean,45.0,97.0,5736.181633,HND,5802.885254,Latin America & Carribean
63,63,99,Croatia,29336.08545,HRV,23197.64648,Europe & Central Asia,46.0,99.0,29336.08545,HRV,23197.64648,Europe & Central Asia
64,64,100,Haiti,3073.32914,HTI,1163.586426,Latin America & Carribean,47.0,100.0,3073.32914,HTI,1163.586426,Latin America & Carribean
65,65,101,Hungary,32553.69447,HUN,28394.32617,Europe & Central Asia,,,,,,
66,66,106,Indonesia,11812.10243,IDN,8977.151367,East Asia & Pacific,48.0,106.0,11812.10243,IDN,8977.151367,East Asia & Pacific
67,67,109,India,6689.365354,IND,6941.969727,South Asia,49.0,109.0,6689.365354,IND,6941.969727,South Asia
68,68,111,Ireland,86650.00466,IRL,38240.21875,Europe & Central Asia,,,,,,
69,69,113,Iraq,10889.8025,IRQ,15723.45215,Middle East & North Africa,50.0,113.0,10889.8025,IRQ,15723.45215,Middle East & North Africa
70,70,114,Iceland,56935.77273,ISL,186788.25,Europe & Central Asia,,,,,,
71,71,115,Israel,40626.21527,ISR,35454.75781,Middle East & North Africa,,,,,,
72,72,116,Italy,42746.29575,ITA,30077.87695,Europe & Central Asia,,,,,,
73,73,117,Jamaica,9777.005686,JAM,14562.76367,Latin America & Carribean,51.0,117.0,9777.005686,JAM,14562.76367,Latin America & Carribean
74,74,118,Jordan,10071.37989,JOR,11483.71875,Middle East & North Africa,52.0,118.0,10071.37989,JOR,11483.71875,Middle East & North Africa
75,75,119,Japan,41697.41194,JPN,40524.43359,East Asia & Pacific,,,,,,
76,76,120,Kazakhstan,26351.80444,KAZ,45458.39844,Europe & Central Asia,,,,,,
77,77,121,Kenya,4459.210605,KEN,1849.1698,Sub-Saharan Africa,53.0,121.0,4459.210605,KEN,1849.1698,Sub-Saharan Africa
78,78,123,Cambodia,4388.800909,KHM,3994.236816,East Asia & Pacific,54.0,123.0,4388.800909,KHM,3994.236816,East Asia & Pacific
79,79,124,Kiribati,2102.782035,KIR,2738.874268,East Asia & Pacific,55.0,124.0,2102.782035,KIR,2738.874268,East Asia & Pacific
80,80,127,Kuwait,49946.73126,KWT,113976.2578,Middle East & North Africa,,,,,,
81,81,130,Lebanon,14493.37237,LBN,15613.75,Middle East & North Africa,56.0,130.0,14493.37237,LBN,15613.75,Middle East & North Africa
82,82,131,Liberia,1469.763959,LBR,1111.514282,Sub-Saharan Africa,57.0,131.0,1469.763959,LBR,1111.514282,Sub-Saharan Africa
83,83,132,Libya,21842.61925,LBY,25863.94727,Middle East & North Africa,58.0,132.0,21842.61925,LBY,25863.94727,Middle East & North Africa
84,84,138,Sri Lanka,13079.53863,LKA,5072.591309,South Asia,59.0,138.0,13079.53863,LKA,5072.591309,South Asia
85,85,141,Lesotho,2656.115855,LSO,2292.675537,Sub-Saharan Africa,60.0,141.0,2656.115855,LSO,2292.675537,Sub-Saharan Africa
86,86,143,Lithuania,37166.21008,LTU,25427.3125,Europe & Central Asia,,,,,,
87,87,144,Luxembourg,116518.2768,LUX,76797.96875,Europe & Central Asia,,,,,,
88,88,145,Latvia,31012.1351,LVA,23499.80273,Europe & Central Asia,,,,,,
89,89,148,Morocco,7546.754883,MAR,7223.973145,Middle East & North Africa,61.0,148.0,7546.754883,MAR,7223.973145,Middle East & North Africa
90,90,150,Moldova,13026.51597,MDA,10373.6875,Europe & Central Asia,62.0,150.0,13026.51597,MDA,10373.6875,Europe & Central Asia
91,91,151,Madagascar,1618.532561,MDG,676.539917,Sub-Saharan Africa,63.0,151.0,1618.532561,MDG,676.539917,Sub-Saharan Africa
92,92,152,Maldives,19510.49184,MDV,17493.39063,South Asia,64.0,152.0,19510.49184,MDV,17493.39063,South Asia
93,93,154,Mexico,19675.44067,MEX,16507.16992,Latin America & Carribean,65.0,154.0,19675.44067,MEX,16507.16992,Latin America & Carribean
94,94,157,North Macedonia,16773.04057,MKD,14905.75977,Europe & Central Asia,66.0,157.0,16773.04057,MKD,14905.75977,Europe & Central Asia
95,95,158,Mali,2321.702199,MLI,1289.118286,Sub-Saharan Africa,67.0,158.0,2321.702199,MLI,1289.118286,Sub-Saharan Africa
96,96,159,Malta,45396.73229,MLT,91685.14844,Middle East & North Africa,,,,,,
97,97,162,Montenegro,21533.93209,MNE,22650.16797,Europe & Central Asia,68.0,162.0,21533.93209,MNE,22650.16797,Europe & Central Asia
98,98,163,Mongolia,12486.07746,MNG,24337.97266,East Asia & Pacific,69.0,163.0,12486.07746,MNG,24337.97266,East Asia & Pacific
99,99,165,Mozambique,1281.780014,MOZ,2377.498047,Sub-Saharan Africa,70.0,165.0,1281.780014,MOZ,2377.498047,Sub-Saharan Africa
100,100,166,Mauritania,5343.997921,MRT,3976.341797,Sub-Saharan Africa,71.0,166.0,5343.997921,MRT,3976.341797,Sub-Saharan Africa
101,101,167,Mauritius,22869.75631,MUS,23277.91797,Sub-Saharan Africa,72.0,167.0,22869.75631,MUS,23277.91797,Sub-Saharan Africa
102,102,168,Malawi,1537.141177,MWI,530.1196899,Sub-Saharan Africa,73.0,168.0,1537.141177,MWI,530.1196899,Sub-Saharan Africa
